GeneSymbol	counts
LOC400748	0
SDC3	24
PUM1	158
SNORD103A	0
SNORD103B	0
SNORD103C	0
NKAIN1	0
SNRNP40	45
ZCCHC17	4
FABP3	7
SERINC2	8013
LDC1P	1
LINC01226	3
TINAGL1	24
HCRTR1	0
PEF1	10
COL16A1	456
ADGRB2	54
MIR4254	0
SPOCD1	18
PTP4A2	9
KHDRBS1	1923
TMEM39B	4
MIR5585	0
KPNA6	108
TXLNA	3357
CCDC28B	6
TMEM234	6
IQCC	0
DCDC2B	0
EIF3I	229
MTMR9LP	256
FAM167B	20
LCK	1
HDAC1	20
MARCKSL1	467
FAM229A	108
TSSK3	0
BSDC1	10
ZBTB8B	0
ZBTB8A	324
ZBTB8OS	8
RBBP4	7
SYNC	0
NHSL3	3834
YARS1	413
S100PBP	43
FNDC5	32
HPCA	33
TMEM54	11
RNF19B	16
AK2	127
AZIN2	4
TRIM62	2
ZNF362	71
A3GALT2	0
PHC2	162
MIR3605	0
PHC2-AS1	0
ZSCAN20	1
CSMD2	0
HMGB4	0
CSMD2-AS1	0
C1orf94	0
MIR552	0
GJB5	0
GJB4	1
GJB3	0
GJA4	7
SMIM12	0
DLGAP3	39
GPR199P	1
TMEM35B	648
ZMYM6	8
ZMYM1	8
SFPQ	111
ZMYM4	2321
KIAA0319L	36
NCDN	288
TFAP2E	4
PSMB2	88
C1orf216	0
CLSPN	3
AGO4	403
AGO1	23
AGO3	20
TEKT2	1
ADPRS	7
COL8A2	0
TRAPPC3	10
MAP7D1	884
THRAP3	77
SH3D21	271
EVA1B	1
STK40	14
LSM10	316
OSCP1	8
MRPS15	332
CSF3R	77
GRIK3	0
MIR4255	0
LITATS1	15
ZC3H12A	786
MIR6732	0
MEAF6	57
MIR5581	0
SNIP1	7
DNALI1	7
GNL2	543
RSPO1	5
AIRIM	11
CDCA8	0
EPHA10	5
MANEAL	34
YRDC	4
C1orf122	81
MTF1	253
INPP5B	28
SF3A3	7
FHL3	588
UTP11	3
POU3F1	0
MIR3659	0
LINC01343	0
RRAGC	21
GJA9-MYCBP	0
MYCBP	0
GJA9	0
RHBDL2	269
AKIRIN1	2680
NDUFS5	16
MACF1	6070
NA	742
NA	0
BMP8A	23
PPIEL	5
PABPC4	1
PABPC4-AS1	0
SNORA55	2535
HEYL	3
NT5C1A	1
HPCAL4	1
PPIE	9
BMP8B	29
OXCT2	47
NA	0
LOC101929536	0
TRIT1	193
MYCL	163
MFSD2A	2139
CAP1	6
PPT1	40
RLF	64
TMCO2	0
ZMPSTE24	4
COL9A2	43
SMAP2	787
ZFP69B	1
ZFP69	13
EXO5	260
ZNF684	20
RIMS3	3
NFYC-AS1	3
NFYC	14
MIR30E	0
MIR30C1	0
KCNQ4	0
CITED4	261
CTPS1	61
SLFNL1-AS1	9
SLFNL1	0
SCMH1	119
FOXO6	0
EDN2	11
HIVEP3	33
GUCA2B	0
GUCA2A	0
FOXJ3	9
RIMKLA	50
ZMYND12	0
PPCS	9
CCDC30	0
PPIH	6
YBX1	43
CLDN19	0
P3H1	674
C1orf50	9
TMEM269	0
SVBP	137
ERMAP	3
ZNF691	0
LOC339539	0
SLC2A1	153
SLC2A1-DT	0
NA	0
CFAP144	27
EBNA1BP2	11
MIR6733	0
CFAP57	35
TMEM125	1304
C1orf210	4
TIE1	2
MPL	0
CDC20	3
ELOVL1	14
MIR6734	0
MED8	11
SZT2	49
